modelo,llamadas,in_tok,out_tok,precio_in_eur_M,precio_out_eur_M,coste_total_eur,coste_por_llamada_eur
functiongemma:270m,140,317710,5952,VERIFICAR,VERIFICAR,,
gemma-4-26b-a4b-it,140,299370,11840,0.08,0.25,0.02691,0.000192
gemma-4-31b-it,140,299370,12300,0.1,0.3,0.03363,0.00024
gemma4:e4b,140,300703,2741,VERIFICAR,VERIFICAR,,
granite4.1:3b,140,337718,2974,VERIFICAR,VERIFICAR,,
ministral-3:8b,140,325108,2805,VERIFICAR,VERIFICAR,,
nemotron-3-nano:4b,140,433578,4004,VERIFICAR,VERIFICAR,,
nvidia/nemotron-3-nano-30b-a3b:free,140,256434,19251,VERIFICAR,VERIFICAR,,
nvidia/nemotron-3-nano-omni-reasoning:free,28,0,0,VERIFICAR,VERIFICAR,,
nvidia/nemotron-3-super-120b:free,28,0,0,VERIFICAR,VERIFICAR,,
nvidia/nemotron-3-ultra-550b:free,28,0,0,VERIFICAR,VERIFICAR,,
nvidia/nemotron-nano-9b-v2:free,140,366930,25113,VERIFICAR,VERIFICAR,,
openai/gpt-oss-120b:free,140,275130,5649,VERIFICAR,VERIFICAR,,
openai/gpt-oss-20b:free,140,275051,4631,VERIFICAR,VERIFICAR,,
qwen3.5:4b,140,369995,4005,VERIFICAR,VERIFICAR,,
qwen3.5:9b,140,372660,3590,VERIFICAR,VERIFICAR,,
z-ai/glm-4.5-air:free,140,0,0,VERIFICAR,VERIFICAR,,
