modelo,medido_acierto_pct,medido_lat_median_s,medido_tok_s,medido_errores,anunciado_contexto,anunciado_rpm,anunciado_throughput,anunciado_precio,free_tier_estado,intelligence_index_AA
openai/gpt-oss-120b:free,97.9,2.2695,18.1,0,,,,,,
nvidia/nemotron-3-nano-30b-a3b:free,63.6,1.564,116.05,49,,,,,,
gemma-4-31b-it,100.0,2.861,27.46,0,,,,,,
gemma-4-26b-a4b-it,92.9,1.6175000000000002,32.095,0,,,,,,
nvidia/nemotron-3-super-120b:free,0.0,,,28,,,,,,
nvidia/nemotron-3-ultra-550b:free,0.0,,,28,,,,,,
nvidia/nemotron-3-nano-omni-reasoning:free,0.0,,,28,,,,,,
gemma4:e4b,92.1,1.09,14.44,1,,,,,,
qwen3.5:4b,99.3,1.596,18.02,1,,,,,,
nemotron-3-nano:4b,99.3,1.515,18.51,1,,,,,,
ministral-3:8b,92.1,1.339,10.0,1,,,,,,
granite4.1:3b,99.3,1.022,21.3,1,,,,,,
qwen3.5:9b,100.0,3.0255,9.35,0,,,,,,
functiongemma:270m,7.1,0.741,52.035,0,,,,,,
